2022-10-20 16:24:03.389900 [info]:  =============Server init================
2022-10-20 16:24:03.389933 [info]:  Port: 1316,OpenLinger: false
2022-10-20 16:24:03.389939 [info]:  Listen Mode: ET, Conn Mode: ET
2022-10-20 16:24:03.389942 [info]:  Log level: 1
2022-10-20 16:24:03.389946 [info]:  srcDir: /home/yzs/my-WebServer/bin/resources/
2022-10-20 16:24:03.389949 [info]:  SqlConnPool num: 4, ThreadPool num: 12
2022-10-20 16:24:03.389952 [info]:  ================Server start================
2022-10-20 16:24:12.741427 [info]:  Client[6](172.21.32.1:48104) in, userCount: 1
2022-10-20 16:24:12.741658 [info]:  Client[6] in!
2022-10-20 16:24:12.741686 [info]:  Client[7](172.21.32.1:48360) in, userCount: 2
2022-10-20 16:24:12.741697 [info]:  Client[7] in!
2022-10-20 16:24:12.745032 [info]:  Client[6] quit!
2022-10-20 16:24:12.745277 [info]:  Client[6](172.21.32.1:48104) quit, userCount: 1
2022-10-20 16:24:28.589339 [info]:  Client[6](172.21.32.1:53480) in, userCount: 2
2022-10-20 16:24:28.589673 [info]:  Client[6] in!
2022-10-20 16:24:58.619021 [info]:  Client[6] quit!
2022-10-20 16:24:58.619443 [info]:  Client[6](172.21.32.1:53480) quit, userCount: 1
2022-10-20 16:24:58.619518 [info]:  Client[7] quit!
2022-10-20 16:24:58.619542 [info]:  Client[7](172.21.32.1:48360) quit, userCount: 0
2022-10-20 16:26:38.905007 [info]:  Client[6](172.21.32.1:25065) in, userCount: 1
2022-10-20 16:26:38.905195 [info]:  Client[6] in!
2022-10-20 16:26:38.907224 [info]:  Client[6] quit!
2022-10-20 16:26:38.907321 [info]:  Client[6](172.21.32.1:25065) quit, userCount: 0
2022-10-20 16:26:38.907480 [info]:  Client[6](172.21.32.1:25321) in, userCount: 1
2022-10-20 16:26:38.907549 [info]:  Client[6] in!
2022-10-20 16:26:48.336284 [info]:  Client[6] quit!
2022-10-20 16:26:48.336451 [info]:  Client[6](172.21.32.1:25321) quit, userCount: 0
2022-10-20 16:26:48.338207 [info]:  Client[6](172.21.32.1:28393) in, userCount: 1
2022-10-20 16:26:48.338352 [info]:  Client[6] in!
2022-10-20 16:26:48.338438 [info]:  Client[7](172.21.32.1:28137) in, userCount: 2
2022-10-20 16:26:48.338451 [info]:  Client[7] in!
2022-10-20 16:26:50.264479 [info]:  Client[6] quit!
2022-10-20 16:26:50.264622 [info]:  Client[6](172.21.32.1:28393) quit, userCount: 1
2022-10-20 16:27:18.366922 [info]:  Client[7] quit!
2022-10-20 16:27:18.367237 [info]:  Client[7](172.21.32.1:28137) quit, userCount: 0
2022-10-20 16:27:20.265510 [info]:  Client[6] quit!
2022-10-20 16:27:57.398496 [info]:  Client[6](172.21.32.1:53481) in, userCount: 1
2022-10-20 16:27:57.398591 [info]:  Client[6] in!
2022-10-20 16:27:57.398609 [info]:  Client[7](172.21.32.1:53737) in, userCount: 2
2022-10-20 16:27:57.398624 [info]:  Client[7] in!
2022-10-20 16:27:57.400729 [info]:  Client[6] quit!
2022-10-20 16:27:57.401001 [info]:  Client[6](172.21.32.1:53481) quit, userCount: 1
2022-10-20 16:28:27.427879 [info]:  Client[7] quit!
2022-10-20 16:28:27.428127 [info]:  Client[7](172.21.32.1:53737) quit, userCount: 0
2022-10-20 16:28:27.428158 [info]:  Client[6] quit!
2022-10-20 16:30:48.335659 [info]:  Client[6](172.21.32.1:42218) in, userCount: 1
2022-10-20 16:30:48.335794 [info]:  Client[6] in!
2022-10-20 16:30:48.335815 [info]:  Client[7](172.21.32.1:42474) in, userCount: 2
2022-10-20 16:30:48.335822 [info]:  Client[7] in!
2022-10-20 16:30:48.337529 [info]:  Client[6] quit!
2022-10-20 16:30:48.337596 [info]:  Client[6](172.21.32.1:42218) quit, userCount: 1
2022-10-20 16:30:52.496130 [info]:  Client[6](172.21.32.1:45290) in, userCount: 2
2022-10-20 16:30:52.496255 [info]:  Client[6] in!
2022-10-20 16:31:22.522951 [info]:  Client[6] quit!
2022-10-20 16:31:22.523124 [info]:  Client[6](172.21.32.1:45290) quit, userCount: 1
2022-10-20 16:31:23.349176 [info]:  Client[7] quit!
